Description,Pieces,Lengths,Weight,Code
6x12,3.0,480,500# ea.,SWF06125
8x13,1.0,288,533# ea.,SWF0813
8x13,1.0,300,325# ea.,USBEAM
8x15,1.0,276,345# ea.,SWF0815
8x15,1.0,324,405# ea.,USBEAM
8x18,1.0,176,264# ea.,USBEAM
8x18,2.0,480,736# ea.,SWF8184
8x21,1.0,144,252# ea.,USBEAM
8x21,3.0,216,378# ea.,USBEAM
8x21,1.0,269,471# ea.,USBEAM
8x21,1.0,362,634# ea.,USBEAM
8x31,2.0,84,217# ea.,USBEAM
8x31,1.0,95,245# ea.,USBEAM
8x31,6.0,96,248# ea.,USBEAM
8x31,2.0,120,310# ea.,USBEAM
8x31,1.0,121,313# ea.,USBEAM
8x31,2.0,136,351# ea.,USBEAM
8x31,1.0,138,357# ea.,USBEAM
8x31,1.0,143,369# ea.,USBEAM
8x31,12.0,144,372# ea.,USBEAM
8x31,1.0,149,385# ea.,USBEAM
8x31,1.0,150,388# ea.,USBEAM
8x31,1.0,153,395# ea.,USBEAM
8x31,3.0,180,465# ea.,USBEAM
8x48,1.0,159,636# ea.,USBEAM
10x19,1.0,324,513# ea.,SWF1019
10x19,3.0,600,950# ea.,SWF1019
10x30,1.0,292,730# ea.,USBEAM
10x68,1.0,144,816# ea.,USBEAM
12x14,1.0,204,238# ea.,USBEAM
12x22,1.0,252,462# ea.,USBEAM
12x40,1.0,72,240# ea,USBEAM
12x72,1.0,248,"1,488# ea",USBEAM
12x87,1.0,360,"2,610# ea",USBEAM
12x210,1.0,175,"3,062# ea",USBEAM
12x252,1.0,206,"4,326# ea",USBEAM
14x22,1.0,300,550# ea,USBEAM
14x30,1.0,195,488# ea,USBEAM
14x34,1.0,284,805# ea,USBEAM
14x34,1.0,600,"1,700# ea",USBEAM
14x38,1.0,146,462# ea,USBEAM
14x43,1.0,360,"1,290# ea",USBEAM
14x68,1.0,372,"2,108# ea",WF1468
14x89,1.0,180,"1,335# ea",USBEAM
14x90,1.0,293,"2,198# ea",USBEAM
14x90,1.0,408,"3,060# ea",SWF1490
14x90,5.0,552,"4,140# ea",SWF1490
14x159,1.0,480,"6,360# ea",SWF14159
16x31,1.0,228,589# ea.,SWF1631
16x36,1.0,183,549# ea.,SWF1631
18x35,1.0,96,315# ea,USBEAM
18x35,1.0,108,315# ea.,SWF1835
18x35,1.0,126,368# ea,USBEAM
18x40,1.0,142,473# ea,USBEAM
18x46,1.0,178,682# ea,USBEAM
18x60,1.0,238,"1,172# ea.",SWF1860
18x97,1.0,170,"1,374# ea",USBEAM
18x119,1.0,257,"2,549# ea",USBEAM
18x143,1.0,246,"2,932# ea",USBEAM
18x143,1.0,316,"3,766# ea",USBEAM
21x48,1.0,246,984# ea,USBEAM
21x50,1.0,99,413# ea,USBEAM
21x50,1.0,177,738# ea,USBEAM
21x55,1.0,240,"1,100# ea",USBEAM
21x62,1.0,192,992# ea,USBEAM
21x62,1.0,320,"1,653# ea",SWF2162
21x68,1.0,184,"1,043# ea",USBEAM
21x68,1.0,221,"1,252# ea",USBEAM
21x68,1.0,276,"1,564# ea",USBEAM
21x68,2.0,279,"1,581# ea",USBEAM
21x68,1.0,362,"2,051# ea",USBEAM
21x83,1.0,234,"1,619# ea",USBEAM
21x83,1.0,252,"1,743# ea",USBEAM
21x93,1.0,201,"1,558# ea",USBEAM
21x147,6.0,480,"5,880# ea",SWF21147
24x55,2.0,504,"2,310# ea",SWF2455
24x62,1.0,139,718# ea,USBEAM
24x62,1.0,174,899# ea,USBEAM
24x62,1.0,224,"1,157# ea.",SWF2462
24x62,1.0,306,"1,581# ea",SWF2462
24x68,1.0,300,"1,700# ea",USBEAM
24x76,1.0,275,"3,066# ea",USBEAM
24x76,1.0,380,"3,731# ea",USBEAM
24x76,5.0,462,"4,250# ea",USBEAM
24x76,2.0,529,"4,674# ea",USBEAM
24x84,1.0,271,"1,897# ea",USBEAM
24x94,1.0,267,"2,092# ea",USBEAM
24x94,1.0,480,"3,760# ea",USBEAM
24x117,1.0,200,"1,950# ea",USBEAM
24x117,1.0,231,"2,252# ea",USBEAM
24x131,1.0,169,"1,845# ea",USBEAM
24x131,1.0,176,"1,921# ea",USBEAM
24x131,1.0,218,"2,380# ea",USBEAM
24x131,1.0,348,"3,799# ea",SWF24131
27x84,1.0,165,"1,155# ea",USBEAM
27x84,1.0,357,"2,499# ea",USBEAM
27x84,1.0,442,"3,094# ea",SWF2784
27x102,1.0,153,"1,301# ea",USBEAM
27x117,1.0,145,"1,414# ea",USBEAM
27x117,1.0,196,"1,911# ea",USBEAM
27x117,1.0,279,"2,720# ea",USBEAM
27x146,1.0,190,"2,312# ea",USBEAM
27x146,1.0,233,"2,835# ea",USBEAM
30x90,1.0,267,"2,003# ea",USBEAM
30x173,1.0,312,"4,498# ea",USBEAM
30x235,1.0,290,"5,678# ea",USBEAM
30x261,1.0,364,"7,917# ea",USBEAM
33x201,1.0,240,"4,020# ea",USBEAM
40x324,1.0,194,"5,238#",USBEAM
,,0,,
